Area,Price,BHK_Count,Rate per sqft,Status,Property Type,Locality,Builder Name,RERA Approval,,Socity,Company Name,Flat Type
2711,37500000,4,13832,Ready to move,4 BHK Independent Floor,Sector 57,Palm Floors,Not approved by RERA,,Outside Socity,Outside,Plot
2711,37500000,4,13832,Ready to move,4 BHK Independent Floor,Sector 57,home,Not approved by RERA,,Outside Socity,Outside,Plot
1310,23300000,2,17800,Ready to move,2 BHK Apartment in M3M Heights,Sector 65,Property In Gurgaon,Not approved by RERA,, M3M Heights,M3M,Apartment
1516,26900000,2,17800,Ready to move,2 BHK Apartment in M3M Heights,Sector 65,properties for sale in Gurgaon,Not approved by RERA,, M3M Heights,M3M,Apartment
1450,25800000,2,17800,Ready to move,2 BHK Apartment in M3M Heights,Sector 65,Palm Floors,Not approved by RERA,, M3M Heights,M3M,Apartment
1950,34700000,3,17800,Ready to move,3 BHK Apartment in M3M Heights,Sector 65,Thirty Three Estates Developers,Not approved by RERA,, M3M Heights,M3M,Apartment
1516,26900000,2,17800,Ready to move,2 BHK Apartment in M3M Heights,Sector 65,Thirty Three Estates Developers,Not approved by RERA,, M3M Heights,M3M,Apartment
1358,24100000,2,17800,Ready to move,2 BHK Apartment in M3M Heights,Sector 65,Thirty Three Estates Developers,Not approved by RERA,, M3M Heights,M3M,Apartment
1450,25800000,2,17800,Ready to move,2 BHK Apartment in M3M Heights,Sector 65,Thirty Three Estates Developers,Not approved by RERA,, M3M Heights,M3M,Apartment
1828,32500000,3,17800,Ready to move,3 BHK Apartment in M3M Heights,Sector 65,Thirty Three Estates Developers,Not approved by RERA,, M3M Heights,M3M,Apartment
1250,22200000,2,17800,Ready to move,2 BHK Apartment in M3M Heights,Sector 65,Thirty Three Estates Developers,Not approved by RERA,, M3M Heights,M3M,Apartment
1433,25500000,2,17800,Ready to move,2 BHK Apartment in M3M Heights,Sector 65,Thirty Three Estates Developers,Not approved by RERA,, M3M Heights,M3M,Apartment
1950,34700000,3,17800,Ready to move,3 BHK Apartment in M3M Heights,Sector 65,Thirty Three Estates Developers,Not approved by RERA,, M3M Heights,M3M,Apartment
2000,35600000,3,17800,Ready to move,3 BHK Apartment in M3M Heights,Sector 65,Thirty Three Estates Developers,Not approved by RERA,, M3M Heights,M3M,Apartment
1358,24100000,2,17800,Ready to move,2 BHK Apartment in M3M Heights,Sector 65,Thirty Three Estates Developers,Not approved by RERA,, M3M Heights,M3M,Apartment
1828,32500000,3,17800,Ready to move,3 BHK Apartment in M3M Heights,Sector 65,Thirty Three Estates Developers,Not approved by RERA,, M3M Heights,M3M,Apartment
1932,34300000,3,17800,Ready to move,3 BHK Apartment in M3M Heights,Sector 65,Thirty Three Estates Developers,Not approved by RERA,, M3M Heights,M3M,Apartment
1433,25500000,2,17800,Ready to move,2 BHK Apartment in M3M Heights,Sector 65,Thirty Three Estates Developers,Not approved by RERA,, M3M Heights,M3M,Apartment
2000,35600000,3,17800,Ready to move,3 BHK Apartment in M3M Heights,Sector 65,Thirty Three Estates Developers,Not approved by RERA,, M3M Heights,M3M,Apartment
2004,35600000,3,17800,Ready to move,3 BHK Apartment in M3M Heights,Sector 65,Thirty Three Estates Developers,Not approved by RERA,, M3M Heights,M3M,Apartment
1932,34300000,3,17800,Ready to move,3 BHK Apartment in M3M Heights,Sector 65,Thirty Three Estates Developers,Not approved by RERA,, M3M Heights,M3M,Apartment
1350,24000000,2,17800,Ready to move,2 BHK Apartment in M3M Heights,Sector 65,home,Not approved by RERA,, M3M Heights,M3M,Apartment
2004,35600000,3,17800,Ready to move,3 BHK Apartment in M3M Heights,Sector 65,Property In Gurgaon,Not approved by RERA,, M3M Heights,M3M,Apartment
1350,24000000,2,17800,Ready to move,2 BHK Apartment in M3M Heights,Sector 65,properties for sale in Gurgaon,Not approved by RERA,, M3M Heights,M3M,Apartment
2054,36500000,3,17800,Ready to move,3 BHK Apartment in M3M Heights,Sector 65,Thirty Three Estates Developers,Not approved by RERA,, M3M Heights,M3M,Apartment
2054,36500000,3,17800,Ready to move,3 BHK Apartment in M3M Heights,Sector 65,Thirty Three Estates Developers,Not approved by RERA,, M3M Heights,M3M,Apartment
1261,22400000,2,17800,Ready to move,2 BHK Apartment in M3M Heights,Sector 65,Thirty Three Estates Developers,Not approved by RERA,, M3M Heights,M3M,Apartment
1261,22400000,2,17800,Ready to move,2 BHK Apartment in M3M Heights,Sector 65,Thirty Three Estates Developers,Not approved by RERA,, M3M Heights,M3M,Apartment
1850,32900000,3,17800,Ready to move,3 BHK Apartment in M3M Heights,Sector 65,Thirty Three Estates Developers,Not approved by RERA,, M3M Heights,M3M,Apartment
