Area,Price,BHK_Count,Rate per sqft,Status,Property Type,Locality,Builder Name,RERA Approval,,Socity,Company Name,Flat Type
1310,288200000,2,"2,20,000 ",Under Construction,2 BHK Apartment in M3M Capital,Sector 113,Vinit tomar,Approved by RERA,, M3M Capital,M3M,Apartment
2249,494700000,4,"2,20,000 ",Under Construction,4 BHK Apartment in M3M Capital,Sector 113,Vinit tomar,Approved by RERA,, M3M Capital,M3M,Apartment
1650,363000000,3,"2,20,000 ",Under Construction,3 BHK Apartment in M3M Capital,Sector 113,Vinit tomar,Approved by RERA,, M3M Capital,M3M,Apartment
1700,374000000,3,"2,20,000 ",Under Construction,3 BHK Apartment in M3M Capital,Sector 113,Vinit tomar,Approved by RERA,, M3M Capital,M3M,Apartment
2668,44000000,3,16500,Ready to move,3 BHK Apartment in M3M Merlin,Sector 67,Vinit tomar,Not approved by RERA,, M3M Merl,M3M,Apartment
3125,54600000,4,17500,Ready to move,4 BHK Apartment in M3M Merlin,Sector 67,home,Not approved by RERA,, M3M Merl,M3M,Apartment
2358,38900000,3,16500,Ready to move,3 BHK Apartment in M3M Merlin,Sector 67,Property In Gurgaon,Not approved by RERA,, M3M Merl,M3M,Apartment
2356,38800000,3,16500,Ready to move,3 BHK Apartment in M3M Merlin,Sector 67,properties for sale in Gurgaon,Not approved by RERA,, M3M Merl,M3M,Apartment
3103,54300000,4,17500,Ready to move,4 BHK Apartment in M3M Merlin,Sector 67,S S Properties,Not approved by RERA,, M3M Merl,M3M,Apartment
2048,33700000,3,16500,Ready to move,3 BHK Apartment in M3M Merlin,Sector 67,S S Properties,Not approved by RERA,, M3M Merl,M3M,Apartment
2047,33700000,3,16500,Ready to move,3 BHK Apartment in M3M Merlin,Sector 67,S S Properties,Not approved by RERA,, M3M Merl,M3M,Apartment
3154,55100000,4,17500,Ready to move,4 BHK Apartment in M3M Merlin,Sector 67,S S Properties,Not approved by RERA,, M3M Merl,M3M,Apartment
